Time,Tamb[°C],rHamb[%],Tcool[°C],rHcool[%],Tin[°C],rHin[%],Tout[°C],rHout[%],CO2in[ppm],CO2out[ppm],Flow[L/min]
2023_6_12_11_59_52,26.07,40.95,26.16,40.49,25.39,42.48,25.36,42.54,625.9,373.35,13.91
2023_6_12_12_0_54,25.86,40.21,26.18,39.82,25.55,41.54,25.5,40.98,627.06,376.18,14.57
2023_6_12_12_1_56,25.42,40.77,26.17,39.16,25.56,40.61,25.54,40.74,613.2,377.38,12.96
2023_6_12_12_2_58,25.17,41.6,26.12,39.26,25.63,40.67,25.65,41.13,593.88,380.01,13.02
2023_6_12_12_4_0,25.19,41.92,26.12,39.6,25.63,40.87,25.67,40.85,587.87,374.76,12.84
2023_6_12_12_5_3,25.23,41.82,26.1,39.65,25.67,40.91,25.7,40.76,585.83,368.74,10.52
2023_6_12_12_6_5,25.23,41.42,26.09,39.34,25.7,40.37,25.74,40.26,587.34,364.21,12.14
2023_6_12_12_6_40,25.26,41.45,26.07,39.38,25.7,40.37,25.77,40.42,587.69,363.85,0.0
2023_6_12_12_6_45,,,,,,,,,,,
2023_6_12_12_6_49,,,,,,,,,,,
