RTClock[time],Tamb[°C],rHamb[%],Tcool[°C],rHcool[%],Tin[°C],rHin[%],Thermero[°C],IRcamera[°C],Tout[°C],rHout[%],CO2in[ppm],CO2out[ppm],NH3in,NH3out,Flow[L/min],Scale[g]
2023_6_14_13_58_48,27.06,22.75,26.74,22.63,26.69,22.65,24.09,25.76,26.26,24.21,651.8,425.18,,,13.46,3412.55
2023_6_14_14_0_11,27.09,22.6,26.79,22.54,26.61,22.77,24.13,25.62,26.35,23.86,627.08,416.17,,,12.82,3412.15
2023_6_14_14_1_34,27.01,22.42,26.81,22.25,26.6,22.57,24.16,25.67,26.44,23.62,611.38,390.2,,,13.38,3412.1
2023_6_14_14_2_57,27.0,22.54,26.85,22.22,26.6,22.57,24.2,25.74,26.5,23.36,603.82,392.95,,,13.14,3412.19
2023_6_14_14_4_19,27.08,22.44,26.88,22.16,26.63,22.48,24.25,25.73,26.56,23.23,597.16,388.29,,,12.98,3412.08
2023_6_14_14_5_42,27.1,22.26,26.91,22.04,26.67,22.34,24.3,25.76,26.62,23.09,595.25,384.25,,,12.78,3412.13
2023_6_14_14_7_6,27.13,21.97,26.96,21.71,26.73,22.02,24.34,25.88,26.65,22.83,590.33,378.56,,,13.51,3412.44
2023_6_14_14_8_29,27.19,21.96,26.99,21.73,26.76,21.97,24.39,25.97,26.72,22.77,593.28,374.19,,,13.99,3412.17
2023_6_14_14_9_52,27.36,21.84,27.02,21.63,26.81,21.97,24.44,26.01,26.76,22.7,591.48,370.98,,,13.31,3412.44
2023_6_14_14_11_16,27.5,21.6,27.09,21.58,26.86,21.87,24.48,26.11,26.81,22.69,588.15,371.62,,,13.74,3412.33
2023_6_14_14_12_39,27.61,21.49,27.15,21.52,26.91,21.82,24.53,26.19,26.85,22.58,587.92,365.91,,,13.04,3412.35
2023_6_14_14_14_3,27.56,21.73,27.16,21.6,26.96,21.93,24.58,26.08,26.88,22.62,586.5,363.84,,,13.46,3412.84
2023_6_14_14_15_27,27.6,21.46,27.21,21.5,27.0,21.74,24.63,26.21,26.92,22.53,592.61,365.45,,,13.26,3412.6
2023_6_14_14_16_51,27.62,21.54,27.26,21.52,27.05,21.8,24.68,26.23,26.96,22.49,587.15,364.15,,,13.52,3412.55
2023_6_14_14_18_14,27.66,21.65,27.29,21.56,27.07,21.77,24.73,26.36,26.99,22.49,586.48,372.34,,,12.9,3411.81
2023_6_14_14_19_38,27.61,21.53,27.33,21.35,27.13,21.67,24.78,26.28,27.05,22.48,583.22,373.41,,,13.4,3412.51
2023_6_14_14_21_2,27.49,21.85,27.35,21.5,27.14,21.78,24.83,26.4,27.07,22.36,579.13,372.62,,,13.75,3412.26
2023_6_14_14_22_26,27.41,22.1,27.36,21.57,27.15,21.83,24.88,26.45,27.12,22.28,582.11,374.04,,,12.99,3412.31
2023_6_14_14_23_51,27.24,22.18,27.37,21.52,27.13,21.78,24.92,26.55,27.13,22.18,582.81,372.72,,,13.48,3411.95
2023_6_14_14_25_15,27.11,22.0,27.37,21.22,27.15,21.51,24.98,26.54,27.15,22.07,579.17,372.52,,,13.11,3411.88
2023_6_14_14_26_39,27.04,22.0,27.35,21.07,27.13,21.42,25.03,26.67,27.17,21.99,577.93,377.72,,,13.55,3411.95
2023_6_14_14_28_2,27.09,21.62,27.35,20.8,27.13,21.07,25.07,26.76,27.22,21.9,578.08,372.91,,,13.16,3411.88
2023_6_14_14_29_26,27.14,21.72,27.36,21.06,27.16,21.29,25.12,26.73,27.22,21.77,581.11,371.32,,,13.32,3411.77
