Time,Tamb[°C],rHamb[%],Tcool[°C],rHcool[%],Tin[°C],rHin[%],Thermero[°C],IRcamera[°C],Tout[°C],rHout[%],CO2in[ppm],CO2out[ppm],NH3in,NH3out,Flow[L/min],Scale[g]
2023_6_15_9_25_54,19.59,47.32,18.96,49.17,19.46,48.19,17.25,19.71,26.17,31.32,697.97,461.03,,,15.3,3416.92
2023_6_15_9_27_22,20.24,45.72,19.07,49.04,21.42,43.26,17.35,19.41,25.23,33.0,671.37,456.62,,,15.12,3417.72
2023_6_15_9_28_50,21.15,43.82,19.27,48.81,23.86,37.47,17.45,19.4,24.75,34.08,655.25,443.44,,,14.79,3418.28
2023_6_15_9_30_18,22.49,40.7,19.6,47.94,26.13,32.59,17.55,19.5,24.42,34.81,655.09,440.56,,,14.74,3418.08
2023_6_15_9_31_47,23.59,38.3,19.98,47.0,27.62,29.69,17.64,19.61,24.16,35.46,655.66,441.08,,,14.75,3417.59
2023_6_15_9_33_17,24.5,36.45,20.37,46.01,28.28,28.39,17.74,19.88,23.95,35.99,656.2,440.34,,,14.78,3418.1
2023_6_15_9_34_45,25.22,35.0,20.82,44.91,28.33,28.23,17.82,19.92,23.77,36.47,661.21,439.68,,,14.84,3417.41
2023_6_15_9_36_12,26.0,33.56,21.24,43.93,28.09,28.59,17.9,19.92,23.61,36.87,662.48,439.17,,,15.22,3417.81
2023_6_15_9_37_40,26.63,32.54,21.67,42.97,27.76,29.2,17.99,20.03,23.49,37.23,663.25,435.82,,,15.11,3417.27
2023_6_15_9_39_8,27.18,31.64,22.1,41.92,27.5,29.74,18.07,20.09,23.34,37.66,662.74,437.13,,,14.85,3416.8
2023_6_15_9_40_35,27.59,30.9,22.56,41.0,27.39,30.06,18.17,20.19,23.26,37.88,660.11,437.28,,,15.22,3416.58
2023_6_15_9_42_4,28.0,30.31,22.99,40.1,27.39,30.2,18.25,20.37,23.19,38.16,663.71,438.91,,,15.03,3416.51
2023_6_15_9_43_33,28.25,29.9,23.26,38.89,27.43,29.72,18.35,20.58,23.14,38.33,664.58,437.08,,,14.92,3416.85
2023_6_15_9_45_1,28.52,29.55,23.12,37.72,27.37,28.97,18.44,20.67,23.11,38.16,666.19,431.12,,,14.84,3416.31
2023_6_15_9_46_30,28.78,29.21,22.67,38.02,27.21,28.87,18.53,20.76,23.09,37.95,660.19,433.12,,,14.71,3416.31
2023_6_15_9_47_58,28.94,28.94,22.18,38.77,27.1,28.9,18.62,20.82,23.07,37.76,662.18,435.15,,,14.87,3415.73
2023_6_15_9_49_26,29.13,28.74,21.82,39.26,27.07,28.87,18.71,20.79,23.05,37.67,659.72,437.93,,,15.12,3415.78
2023_6_15_9_50_53,29.29,28.55,21.51,39.88,27.04,28.79,18.81,21.02,23.05,37.6,658.06,437.06,,,14.83,3415.44
2023_6_15_9_52_21,29.45,28.3,21.25,40.37,27.06,28.68,18.91,20.97,23.07,37.45,658.09,433.77,,,14.69,3415.71
2023_6_15_9_53_51,29.67,27.99,21.07,40.83,27.1,28.56,19.02,21.13,23.08,37.44,658.98,434.36,,,14.78,3415.64
2023_6_15_9_55_20,29.86,27.87,20.91,40.9,27.11,28.39,19.1,21.37,23.12,37.24,663.2,432.99,,,14.69,3415.42
2023_6_15_9_56_48,30.08,27.43,20.79,40.93,27.15,28.07,19.2,21.44,23.15,37.14,661.65,435.05,,,15.01,3415.86
2023_6_15_9_58_16,30.14,27.48,20.68,41.23,27.16,28.03,19.29,21.53,23.19,37.05,660.38,431.67,,,14.66,3415.98
2023_6_15_9_59_44,30.22,27.36,20.56,41.48,27.16,27.95,19.39,21.63,23.23,37.03,662.82,427.0,,,15.25,3415.64
2023_6_15_10_1_12,30.33,27.2,20.5,41.65,27.14,27.97,19.48,21.66,23.26,36.87,658.38,424.61,,,14.49,3415.39
2023_6_15_10_2_41,30.5,27.0,20.46,41.76,27.15,27.95,19.58,21.67,23.32,36.7,659.09,425.05,,,14.88,3415.46
2023_6_15_10_4_10,30.73,26.81,20.43,41.83,27.12,27.96,19.68,21.85,23.37,36.57,650.05,428.57,,,14.67,3415.46
2023_6_15_10_5_40,30.85,26.62,20.43,41.93,27.14,28.01,19.77,22.02,23.45,36.42,663.93,427.8,,,14.66,3415.82
2023_6_15_10_7_10,30.89,26.68,20.45,41.78,27.21,27.79,19.88,22.03,23.49,36.3,662.61,428.02,,,14.69,3415.51
2023_6_15_10_8_38,31.03,26.53,20.43,41.85,27.26,27.68,19.97,22.13,23.56,36.18,663.28,430.6,,,14.53,3415.13
2023_6_15_10_10_7,31.24,26.27,20.45,41.91,27.28,27.74,20.07,22.52,23.63,36.07,663.26,426.94,,,14.82,3414.72
2023_6_15_10_11_37,31.37,26.22,20.5,41.83,27.26,27.74,20.18,22.4,23.69,35.99,665.0,425.32,,,14.59,3414.81
2023_6_15_10_13_5,31.53,25.95,20.53,41.82,27.24,27.89,20.27,22.61,23.77,35.91,657.25,427.59,,,14.68,3415.06
2023_6_15_10_14_34,31.72,25.81,20.6,41.69,27.21,27.83,20.38,22.67,23.88,35.87,658.89,429.12,,,14.84,3414.99
2023_6_15_10_16_3,31.91,25.45,20.66,41.58,27.22,27.92,20.47,22.75,23.94,35.83,662.57,427.42,,,14.72,3414.86
2023_6_15_10_17_30,32.05,25.46,20.74,41.53,27.24,27.95,20.58,22.87,24.01,35.72,664.07,427.19,,,14.96,3414.77
2023_6_15_10_18_58,32.19,25.11,20.8,41.32,27.24,27.87,20.67,22.92,24.08,35.64,667.43,431.33,,,14.71,3414.77
2023_6_15_10_20_25,32.41,24.91,20.91,41.3,27.28,27.95,20.78,22.98,24.18,35.54,666.53,430.96,,,14.65,3414.75
2023_6_15_10_21_54,32.78,24.47,20.98,41.13,27.26,27.97,20.87,23.14,24.28,35.34,664.97,426.38,,,14.71,3414.01
2023_6_15_10_23_22,32.72,24.69,21.05,40.87,27.13,28.08,20.96,23.16,24.36,35.38,661.95,430.21,,,14.94,3414.16
2023_6_15_10_24_49,32.26,25.25,21.05,40.61,26.92,28.38,21.07,23.26,24.44,35.06,662.69,430.14,,,14.86,3414.21
2023_6_15_10_26_18,31.79,25.99,21.01,40.68,26.87,28.36,21.16,23.36,24.5,34.98,659.32,426.96,,,14.61,3414.54
2023_6_15_10_27_46,31.97,25.84,20.96,40.79,27.03,28.09,21.26,23.5,24.56,35.08,655.95,431.99,,,15.09,3414.39
2023_6_15_10_29_15,32.23,25.39,20.95,40.93,27.26,27.91,21.35,23.61,24.64,34.68,653.72,436.36,,,14.56,3413.96
2023_6_15_10_30_44,32.69,24.83,20.99,41.05,27.34,27.7,21.46,23.53,24.73,34.59,658.31,434.95,,,14.56,3413.92
2023_6_15_10_32_13,32.6,24.86,21.01,41.04,27.17,28.0,21.54,23.67,24.81,34.59,661.51,437.48,,,14.53,3413.81
2023_6_15_10_33_41,32.19,25.38,21.01,40.92,26.93,28.35,21.64,23.84,24.88,34.44,658.43,433.59,,,14.68,3413.98
2023_6_15_10_35_9,31.96,25.9,21.0,40.95,26.98,28.34,21.72,23.86,24.95,34.44,658.18,430.88,,,14.71,3413.81
2023_6_15_10_36_37,32.28,25.55,20.99,41.0,27.12,28.18,21.82,24.02,25.04,34.21,663.85,436.57,,,14.61,3413.81
2023_6_15_10_38_5,32.73,25.19,21.05,41.14,27.26,28.09,21.91,24.06,25.11,34.1,658.49,435.14,,,14.6,3414.19
2023_6_15_10_39_34,33.16,24.48,21.16,41.05,27.27,28.1,22.02,24.22,25.19,34.13,663.42,429.08,,,14.76,3413.74
2023_6_15_10_41_3,33.07,24.49,21.2,40.96,27.09,28.44,22.1,24.33,25.28,33.94,661.53,426.09,,,14.45,3412.98
2023_6_15_10_42_31,32.78,24.92,21.24,40.72,26.91,28.7,22.2,24.27,25.36,33.84,656.2,431.49,,,14.57,3413.4
2023_6_15_10_44_1,32.36,25.41,21.2,40.7,26.82,28.8,22.28,24.53,25.43,33.66,659.06,434.07,,,14.72,3413.27
2023_6_15_10_45_29,32.33,25.66,21.15,40.79,26.93,28.62,22.37,24.5,25.5,33.67,655.71,432.52,,,14.61,3413.45
2023_6_15_10_46_57,32.7,25.33,21.16,40.91,27.14,28.3,22.47,24.71,25.57,33.62,653.87,433.39,,,14.71,3413.76
2023_6_15_10_48_26,33.18,24.52,21.22,40.94,27.26,28.21,22.56,24.78,25.66,33.41,654.2,431.72,,,14.45,3412.93
2023_6_15_10_49_55,33.22,24.45,21.29,40.97,27.18,28.41,22.65,24.76,25.75,33.37,661.9,427.69,,,14.72,3412.78
2023_6_15_10_51_25,32.99,24.88,21.31,40.77,27.03,28.66,22.73,24.85,25.83,33.34,655.44,425.67,,,14.84,3412.42
2023_6_15_10_52_52,32.79,25.12,21.32,40.67,26.9,28.77,22.82,25.09,25.89,33.2,659.94,421.63,,,14.68,3412.57
2023_6_15_10_54_21,32.47,25.56,21.27,40.65,26.82,28.81,22.92,25.1,25.95,33.14,658.36,423.77,,,14.68,3412.71
2023_6_15_10_55_49,32.38,25.82,21.23,40.75,27.04,28.56,23.02,25.18,25.98,33.05,658.63,427.96,,,14.56,3412.91
2023_6_15_10_57_17,32.83,25.32,21.24,40.94,27.32,28.17,23.09,25.11,26.07,32.91,656.84,429.99,,,14.75,3412.6
2023_6_15_10_58_46,33.38,24.55,21.3,41.07,27.38,28.19,23.16,25.29,26.17,32.85,661.53,431.18,,,14.59,3413.0
2023_6_15_11_0_15,33.44,24.44,21.36,41.02,27.18,28.56,23.26,25.25,26.25,32.8,658.6,427.3,,,14.69,3412.87
2023_6_15_11_1_44,33.22,24.75,21.39,40.92,26.98,28.94,23.33,25.41,26.33,32.76,662.39,430.76,,,14.71,3412.62
2023_6_15_11_3_10,33.07,24.91,21.41,40.9,26.84,29.16,23.41,25.62,26.4,32.58,658.54,429.61,,,14.76,3412.46
2023_6_15_11_4_38,32.92,25.19,21.38,40.73,26.79,29.12,23.49,25.58,26.45,32.5,665.59,427.16,,,14.57,3412.53
2023_6_15_11_6_8,32.77,25.35,21.38,40.76,26.81,29.11,23.57,25.63,26.5,32.36,654.96,428.75,,,14.69,3412.46
2023_6_15_11_7_37,32.61,25.73,21.34,40.91,26.89,28.98,23.65,25.8,26.55,32.28,650.45,426.48,,,14.55,3412.31
2023_6_15_11_9_5,32.87,25.53,21.33,41.07,27.13,28.71,23.73,25.74,26.63,32.19,650.06,426.79,,,14.4,3412.64
2023_6_15_11_10_35,33.36,24.84,21.37,41.18,27.3,28.52,23.81,26.02,26.7,32.02,649.05,423.39,,,14.41,3411.93
2023_6_15_11_12_5,33.47,24.71,21.44,41.06,27.23,28.69,23.9,25.99,26.77,32.51,651.23,417.84,,,15.58,3412.17
2023_6_15_11_13_34,33.28,24.95,21.46,41.02,27.06,28.99,23.99,26.19,26.83,32.07,653.23,418.29,,,14.92,3412.53
2023_6_15_11_15_3,33.14,25.06,21.44,40.97,26.96,29.28,24.06,26.19,26.9,32.14,650.11,421.5,,,14.95,3411.95
2023_6_15_11_16_32,33.06,25.4,21.46,40.99,26.89,29.3,24.12,26.12,26.94,31.83,647.05,421.51,,,14.4,3412.06
2023_6_15_11_18_1,33.04,25.33,21.45,41.04,26.88,29.31,24.19,26.26,27.01,31.73,649.62,423.52,,,14.56,3412.06
2023_6_15_11_19_27,33.01,25.42,21.43,41.05,26.9,29.29,24.28,26.43,27.06,31.84,654.12,421.05,,,15.04,3411.72
2023_6_15_11_20_57,32.95,25.46,21.43,41.06,26.95,29.24,24.34,26.48,27.09,32.01,655.06,413.84,,,16.15,3412.1
2023_6_15_11_22_25,32.92,25.49,21.39,40.96,26.98,29.09,24.42,26.49,27.13,31.76,651.29,421.02,,,14.45,3411.86
2023_6_15_11_23_52,32.81,25.67,21.36,41.09,26.97,29.1,24.49,26.51,27.2,31.48,648.47,422.68,,,14.19,3411.77
2023_6_15_11_25_20,32.63,25.88,21.34,41.16,26.98,29.03,24.57,26.64,27.26,31.42,646.0,417.87,,,14.69,3411.72
2023_6_15_11_26_49,32.87,25.74,21.34,41.37,27.1,29.05,24.65,26.73,27.29,31.38,647.56,419.29,,,14.46,3411.46
2023_6_15_11_28_17,33.47,24.87,21.41,41.43,27.25,28.91,24.72,26.7,27.36,31.34,648.05,415.22,,,14.36,3412.08
2023_6_15_11_29_45,33.58,24.81,21.44,41.34,27.17,29.03,24.79,26.87,27.44,31.19,648.1,417.09,,,14.39,3411.68
2023_6_15_11_31_13,33.51,24.81,21.5,41.45,27.06,29.43,24.86,26.82,27.5,31.24,648.78,415.42,,,14.48,3410.9
2023_6_15_11_32_42,33.43,24.99,21.56,41.37,26.97,29.55,24.93,26.83,27.54,31.27,651.59,421.65,,,14.44,3411.39
2023_6_15_11_34_12,33.35,25.06,21.57,41.31,26.96,29.63,25.0,26.93,27.61,31.04,649.95,421.44,,,14.5,3410.94
2023_6_15_11_35_42,33.33,25.17,21.57,41.27,26.96,29.58,25.08,27.14,27.68,30.95,649.31,418.39,,,13.06,3410.69
2023_6_15_11_37_10,33.34,25.24,21.58,41.32,27.0,29.56,25.16,27.08,27.72,31.09,642.63,415.97,,,14.41,3410.81
2023_6_15_11_38_37,33.34,25.2,21.59,41.37,27.02,29.59,25.21,27.22,27.75,30.95,640.27,421.14,,,14.46,3410.67
2023_6_15_11_40_6,33.3,25.32,21.58,41.43,27.05,29.62,25.28,27.25,27.8,31.07,644.35,419.07,,,14.69,3411.05
2023_6_15_11_41_35,33.3,25.3,21.58,41.39,27.06,29.59,25.34,27.21,27.85,30.93,637.28,420.76,,,14.71,3410.67
2023_6_15_11_43_4,33.27,25.38,21.58,41.47,27.05,29.54,25.41,27.31,27.9,30.88,634.23,418.54,,,14.31,3410.83
2023_6_15_11_44_33,33.24,25.47,21.54,41.57,27.04,29.58,25.47,27.48,27.95,31.22,634.14,420.93,,,15.56,3411.19
2023_6_15_11_46_2,33.21,25.48,21.54,41.57,27.0,29.68,25.54,27.49,27.99,30.83,635.83,417.89,,,14.33,3410.99
2023_6_15_11_47_31,33.19,25.53,21.52,41.5,26.97,29.69,25.6,27.47,28.04,30.57,641.29,413.41,,,14.37,3411.25
2023_6_15_11_48_59,33.2,25.54,21.54,41.59,26.96,29.79,25.67,27.59,28.08,30.7,647.1,416.74,,,14.69,3410.65
2023_6_15_11_50_26,33.22,25.72,21.53,41.63,26.99,29.74,25.72,27.57,28.13,30.38,643.77,418.72,,,14.06,3410.99
2023_6_15_11_51_55,33.29,25.48,21.53,41.67,27.02,29.72,25.77,27.67,28.18,30.51,647.63,422.11,,,14.66,3411.01
2023_6_15_11_53_23,33.27,25.5,21.53,41.67,27.03,29.7,25.84,27.78,28.22,30.85,652.21,420.52,,,15.83,3410.9
2023_6_15_11_54_51,33.22,25.58,21.53,41.74,27.03,29.76,25.9,27.79,28.24,30.51,650.17,420.06,,,14.72,3410.65
2023_6_15_11_56_20,33.22,25.55,21.55,41.73,27.03,29.73,25.95,27.81,28.29,30.3,649.14,422.0,,,14.11,3410.6
2023_6_15_11_57_48,33.21,25.61,21.55,41.67,27.01,29.8,26.02,27.94,28.35,30.28,647.4,419.71,,,13.8,3410.16
2023_6_15_11_59_16,33.29,25.62,21.56,41.73,27.01,29.69,26.07,27.9,28.41,30.22,649.46,419.42,,,14.62,3410.4
2023_6_15_12_0_45,33.36,25.47,21.56,41.79,27.05,29.82,26.13,27.96,28.42,30.28,650.85,419.49,,,14.69,3409.96
2023_6_15_12_2_13,33.4,25.46,21.57,41.76,27.07,29.78,26.19,28.07,28.47,30.11,643.64,419.16,,,12.99,3410.27
2023_6_15_12_3_41,33.39,25.43,21.58,41.83,27.05,29.86,26.26,28.08,28.5,30.1,643.74,419.68,,,14.17,3410.67
2023_6_15_12_5_9,33.36,25.4,21.58,41.77,27.04,29.89,26.31,28.01,28.55,30.04,642.79,420.71,,,14.08,3409.44
2023_6_15_12_6_38,33.33,25.58,21.61,41.8,27.03,30.0,26.37,28.15,28.62,29.89,636.38,420.3,,,14.18,3418.35
2023_6_15_12_8_6,33.42,25.54,21.6,41.83,27.02,30.04,26.42,28.29,28.64,29.81,638.74,420.53,,,13.86,3410.22
2023_6_15_12_9_34,33.46,25.46,21.63,41.75,27.03,29.92,26.47,28.16,28.7,29.83,638.92,416.02,,,14.64,3410.05
